miRNA_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
hsa-miR-6880-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1913	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
hsa-miR-1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-541-5p	4	12	1	1	5	1	2	6	7	0	2	7	2	5	3	2
hsa-miR-4638-5p	1	1	0	0	1	0	0	0	0	0	0	0	0	2	2	0
hsa-miR-216a-5p	63	69	101	72	64	6	36	51	4	1	2	4	1	4	10	2
hsa-miR-29b-3p	4632	3879	4325	4488	3305	1453	2621	4399	2340	2898	2357	1342	3253	1528	4848	1457
hsa-miR-4789-5p	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-4659a-3p	2	1	2	0	0	2	0	0	3	3	4	0	5	0	7	1
hsa-miR-219a-2-3p	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-6867-5p	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-2355-3p	71	41	58	30	48	12	38	36	20	27	24	36	32	24	35	32
hsa-miR-6741-3p	2	0	1	3	0	0	0	1	2	1	0	0	2	1	3	1
hsa-miR-4712-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-675-5p	0	2	3	4	3	0	3	0	29	20	22	48	37	14	14	9
hsa-miR-34c-5p	392	346	705	789	796	108	781	724	7317	9967	11958	19460	18197	14044	37979	34006
hsa-miR-6500-5p	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	2
hsa-miR-122-3p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-409-3p	2753	8307	7321	2958	4183	1728	2286	3646	2573	2261	2745	4281	5169	3231	3583	2464
hsa-miR-4704-3p	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-623	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-3p	550	501	516	338	527	271	650	576	387	452	605	1381	697	561	353	773
hsa-miR-5692c	2	2	3	2	1	1	1	0	1	1	0	1	1	4	1	1
hsa-miR-580-3p	15	13	15	20	6	4	17	15	14	23	16	12	31	11	14	12
hsa-miR-4750-5p	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-374c-3p	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0
hsa-miR-877-3p	0	1	0	0	0	1	0	2	3	1	1	0	1	0	0	1
hsa-miR-448	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3617-3p	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
hsa-miR-500a-5p	84	152	101	63	90	55	137	146	97	129	153	207	90	118	92	166
hsa-miR-4659b-3p	0	0	0	0	0	0	0	1	0	2	2	1	0	2	1	0
hsa-miR-23c	4	12	2	3	4	1	0	4	4	4	9	5	6	3	2	1
hsa-miR-521	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-449b-3p	0	0	0	2	1	0	0	0	4	11	22	139	17	14	20	76
hsa-miR-5571-3p	1	2	0	2	2	0	5	5	0	0	0	0	0	0	0	0
hsa-miR-377-3p	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4301	2	0	0	2	0	0	0	1	1	1	0	0	0	1	0	0
hsa-miR-4469	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-4303	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4712-3p	0	0	1	0	0	0	0	2	1	1	2	0	1	0	4	0
hsa-miR-4464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4467	4	0	0	2	1	0	0	2	6	0	0	1	3	6	3	3
hsa-miR-4460	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3192-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-612	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0
hsa-miR-4659a-5p	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-3p	602699	672286	698778	652964	632979	404329	525395	732385	398570	495999	405945	542659	431603	585475	341874	377959
hsa-miR-876-3p	0	0	0	2	0	0	0	0	8	10	5	2	11	1	5	2
hsa-miR-4766-5p	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0
hsa-miR-4536-3p	1	1	1	0	0	1	2	0	1	1	1	1	1	0	4	0
hsa-miR-4480	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-4487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4787-5p	2	3	6	4	7	0	19	7	15	2	3	0	2	3	2	3
hsa-miR-4489	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4521	10	10	6	7	3	6	4	10	50	35	20	7	27	89	48	34
hsa-miR-4523	0	0	1	2	0	0	0	0	0	2	1	3	0	0	2	0
hsa-miR-4522	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0
hsa-miR-4799-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19a-3p	0	1	0	0	0	0	0	0	5	0	6	3	0	3	2	6
hsa-miR-744-5p	480	353	301	259	230	139	283	336	527	739	578	657	494	917	361	597
hsa-miR-98-3p	20	27	23	11	12	6	18	15	11	25	27	11	4	12	13	15
hsa-miR-3941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-20a-3p	61	167	99	74	46	52	66	76	157	183	198	191	119	184	112	296
hsa-miR-101-5p	352	433	347	339	310	284	354	473	329	413	235	296	284	248	376	279
hsa-miR-4700-3p	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1
hsa-miR-4781-3p	2	2	7	7	2	2	6	8	2	12	10	7	5	10	6	12
hsa-let-7f-2-3p	43	63	26	37	35	23	30	35	32	57	48	39	28	37	76	30
hsa-miR-20b-3p	0	0	0	1	0	0	0	0	0	2	1	1	9	2	2	5
hsa-miR-4727-3p	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-510-3p	0	17	3	0	0	51	0	3	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-585-5p	2	0	6	2	4	1	1	5	1	2	6	1	0	7	2	6
hsa-miR-1915-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-3p	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-1251-5p	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0
hsa-miR-1247-5p	78	92	63	26	70	23	37	150	140	171	53	21	212	27	159	55
hsa-miR-152-3p	1981	958	2242	1824	1572	1645	1219	1071	1657	993	1495	999	2015	1414	1004	789
hsa-miR-148a-3p	124705	165454	176921	194719	135968	126730	146924	151558	166003	218569	229963	160694	199342	268731	204415	279311
hsa-miR-4999-3p	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-30d-3p	203	328	279	177	177	172	205	271	1072	1608	1636	489	842	3054	840	931
hsa-miR-5090	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-4699-5p	0	3	1	2	2	0	0	0	1	1	1	2	1	1	0	0
hsa-miR-517a-3p	1	0	0	0	3	1	0	0	0	2	0	0	1	0	0	0
hsa-miR-3622a-3p	0	5	0	0	0	1	1	0	2	1	0	1	2	4	0	0
hsa-miR-6800-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3679-3p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-150-5p	12851	3421	2670	5906	1318	1726	8731	8623	2877	6018	1115	2770	1747	2576	1909	1308
hsa-miR-19b-3p	1	0	1	1	0	0	0	0	2	0	6	2	2	3	2	7
hsa-miR-4653-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3661	0	3	2	0	2	1	1	0	2	0	1	6	3	0	4	1
hsa-miR-320a	141	140	124	90	82	85	91	103	158	247	163	156	216	180	211	83
hsa-miR-4703-3p	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1
hsa-miR-6512-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-212-3p	48	152	102	57	83	37	50	84	57	52	43	123	92	47	58	20
hsa-miR-302d-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-760	1	3	2	0	1	1	3	2	2	4	1	2	2	2	0	2
hsa-miR-346	0	4	0	1	3	3	2	3	7	5	1	3	3	0	1	3
hsa-miR-3683	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-5p	0	0	0	4	0	0	0	1	11	66	1	8	1	5	1	46
hsa-miR-3685	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0
hsa-miR-3684	3	0	0	0	2	1	2	4	5	2	4	7	2	11	3	6
hsa-miR-3687	181	58	72	27	121	36	251	111	110	217	64	60	147	51	111	76
hsa-miR-3686	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6732-3p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-363-5p	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1
hsa-miR-665	30	64	98	64	78	12	36	86	58	15	39	66	72	43	63	28
hsa-miR-4804-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-599	0	0	0	0	0	0	1	0	6	8	1	1	23	4	32	4
hsa-miR-3135a	2	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0
hsa-miR-3607-5p	1	1	2	0	2	1	1	1	0	1	0	0	1	0	0	1
hsa-miR-369-5p	130	1073	528	208	180	221	175	351	190	223	150	255	302	182	141	161
hsa-miR-3202	4	4	1	2	1	0	4	7	0	2	0	0	2	1	0	5
hsa-miR-3129-5p	7	4	18	13	10	1	16	10	1	3	5	6	6	10	8	7
hsa-miR-6830-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4707-3p	0	2	0	0	1	3	0	0	0	3	0	0	0	3	0	0
hsa-miR-7845-5p	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-185-5p	168	84	114	135	125	142	188	90	87	157	121	159	194	65	200	79
hsa-miR-5001-5p	2	1	1	0	0	0	0	0	3	0	2	1	0	0	0	2
hsa-miR-3913-5p	60	76	58	78	55	41	47	70	52	80	67	145	56	84	67	91
hsa-miR-4742-5p	0	2	1	0	0	1	2	2	4	4	2	1	4	2	0	0
hsa-miR-3607-3p	5	4	10	9	6	2	10	6	8	2	5	7	1	2	2	4
hsa-miR-26b-5p	61582	62264	52110	61401	54979	49763	47298	54158	57922	65053	62754	58226	90503	65359	60162	60708
hsa-miR-1229-3p	3	3	1	2	2	1	1	0	0	1	2	0	0	0	1	0
hsa-miR-6504-5p	6	4	9	4	10	3	6	9	0	1	0	4	4	0	7	0
hsa-miR-6775-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0
hsa-miR-187-3p	43	8	14	29	6	4	10	13	261	462	402	110	66	1616	69	409
hsa-miR-4777-5p	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6886-5p	3	0	1	0	0	0	1	1	0	1	3	2	2	1	1	2
hsa-miR-5002-5p	4	6	6	5	6	3	6	1	6	3	5	10	8	8	5	10
hsa-miR-186-5p	3	0	0	1	1	0	1	0	0	1	1	1	0	0	0	2
hsa-miR-382-5p	203	714	454	215	288	309	169	252	151	85	146	201	214	96	108	106
hsa-miR-6739-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-let-7f-1-3p	79	58	70	75	65	13	53	92	42	68	67	70	25	48	56	46
hsa-miR-7156-5p	1	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3136-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6802-5p	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6501-3p	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
hsa-miR-6876-5p	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4758-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-361-5p	3011	3143	2990	2304	3035	1682	2208	2804	2563	3510	2880	3446	3225	3110	2731	3880
hsa-miR-6720-5p	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-671-5p	298	202	254	224	195	55	126	127	156	122	205	305	244	150	167	229
hsa-miR-561-5p	37	78	50	43	39	17	23	48	157	192	209	127	170	203	217	204
hsa-miR-7847-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6726-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-625-5p	162	197	139	86	92	74	81	116	118	162	83	189	331	189	169	114
hsa-miR-769-5p	1869	2267	2032	1616	1877	1931	1726	1920	1416	1614	1768	2647	3119	1813	1761	2187
hsa-miR-508-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-1-5p	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1
hsa-miR-499b-3p	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6885-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-518c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6507-5p	0	0	0	0	0	0	0	0	10	30	56	0	19	25	18	30
hsa-miR-1234-3p	3	1	0	0	0	1	1	2	0	1	0	1	0	0	0	0
hsa-miR-3922-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7114-3p	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-199b-5p	30391	16498	40828	40764	32764	3358	21483	39238	63908	73672	71285	107119	33380	61306	38066	121651
hsa-miR-545-5p	58	46	41	51	51	15	56	43	31	44	59	45	50	44	30	41
hsa-miR-139-3p	1	4	5	0	1	10	3	2	2	0	0	3	2	1	1	1
hsa-miR-933	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
hsa-miR-6864-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-199b-3p	602584	672188	698619	652823	632924	404254	525284	732280	398485	495898	405853	542488	431509	585359	341796	377834
hsa-miR-6856-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4687-3p	2	0	0	0	0	1	0	0	2	0	0	0	0	3	0	2
hsa-miR-3149	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0
hsa-miR-6509-3p	2	2	5	0	2	0	1	0	1	1	2	1	2	1	2	0
hsa-miR-3143	4	5	6	1	6	2	8	3	7	10	7	11	11	11	5	4
hsa-miR-3146	1	0	1	0	0	0	0	1	0	1	3	1	1	0	1	1
hsa-miR-192-5p	2380	3413	3438	3437	3665	2361	3188	3104	4491	8479	5433	5491	7770	5397	8685	4310
hsa-miR-412-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-let-7i-5p	52757	48903	58098	36519	58631	35407	39467	46899	52715	84721	58425	65378	90385	64595	122988	51276
hsa-miR-556-3p	1	1	2	0	1	4	0	1	7	5	3	7	1	6	4	6
hsa-miR-3200-3p	6	17	11	8	13	16	15	16	22	33	29	54	17	35	34	33
hsa-miR-3139	0	1	1	0	3	0	0	2	0	0	0	2	3	1	1	3
hsa-let-7d-3p	1326	703	313	396	570	169	1125	1031	819	887	486	530	113	337	400	315
hsa-miR-497-3p	18	80	28	16	14	24	8	32	106	90	65	84	39	40	35	98
hsa-miR-3928-3p	11	4	10	7	3	1	3	8	7	8	9	4	12	16	6	2
hsa-miR-6750-3p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-let-7e-5p	5789	9614	8573	4016	5496	4131	4153	5718	4796	8608	6319	8356	7420	9021	5765	4263
hsa-miR-2116-5p	7	0	7	7	1	4	7	2	4	4	1	11	5	7	2	3
hsa-miR-6895-3p	1	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2
hsa-miR-10a-5p	20208	14030	49941	100363	27171	12626	21679	22502	387646	471280	574097	381180	515148	551627	546636	498837
hsa-miR-635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-500b-5p	61	132	83	55	67	49	119	129	82	120	130	141	66	99	69	127
hsa-miR-525-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-2114-3p	0	49	9	7	4	15	9	19	8	15	17	22	15	7	12	11
hsa-miR-431-3p	16	113	57	19	13	19	17	34	38	30	30	48	34	34	26	27
hsa-miR-3155b	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a	1	0	0	3	0	0	1	0	0	0	1	0	1	1	0	0
hsa-miR-2276-3p	2	1	2	1	1	1	2	2	3	0	3	1	2	5	4	5
hsa-miR-155-5p	5774	1401	2024	3391	1514	1091	3261	2051	1457	1873	2016	2208	4369	1750	1976	1312
hsa-miR-6839-5p	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
hsa-miR-219a-5p	3	3	5	3	0	2	2	1	0	3	3	7	3	6	11	7
hsa-miR-576-5p	91	103	106	91	61	53	71	65	136	183	160	135	113	174	108	197
hsa-miR-30e-5p	68065	52351	51571	50703	37012	30454	45060	35596	54801	69616	81768	83113	84473	94865	67129	119563
hsa-miR-1273g-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-23b-3p	15708	21122	9374	12246	14261	8871	6686	12603	19641	25698	16552	21131	16048	18765	19647	19719
hsa-miR-6843-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3616-3p	1	0	0	0	0	0	0	0	4	7	7	3	2	3	0	6
hsa-miR-3187-3p	1	0	1	2	0	1	2	0	2	3	1	3	1	1	3	0
hsa-miR-582-3p	106	50	91	390	107	41	151	37	84	100	113	161	132	203	243	163
hsa-miR-151a-5p	14380	27531	22852	13048	14448	13256	14005	24186	20391	30914	24022	20959	23972	30610	21553	20594
hsa-miR-21-3p	21739	16347	29605	23216	28674	4158	12275	20696	12906	15794	24215	16996	12849	21444	14657	6394
hsa-miR-548j-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1301-3p	103	120	66	50	55	51	95	71	67	68	66	65	103	73	76	64
hsa-miR-3936	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-190a-3p	84	86	81	88	76	9	46	97	56	56	40	104	45	36	51	108
hsa-miR-7855-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-365a-5p	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
hsa-miR-3938	0	1	1	0	0	0	0	0	1	1	0	1	1	0	2	2
hsa-miR-509-3p	46	7134	2271	397	79	10290	213	318	27	21	24	124	59	66	13	34
hsa-miR-944	3	0	8	2	0	0	0	0	2	1	1	1	1	2	0	1
hsa-miR-3619-5p	3	2	1	1	0	0	2	0	0	5	1	8	3	2	1	5
hsa-miR-518b	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-200c-5p	1	2	1	0	0	0	0	2	50	62	82	13	31	70	32	40
hsa-miR-3074-5p	4	3	2	0	1	1	3	3	0	3	4	3	1	6	3	0
hsa-miR-337-3p	185	1047	431	168	268	170	173	578	285	361	249	402	213	233	229	321
hsa-miR-3115	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-624-3p	12	14	7	4	3	1	3	7	6	5	7	10	16	10	9	7
hsa-miR-5583-5p	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0
hsa-miR-3116	6	0	0	0	0	0	1	2	6	5	7	3	12	12	11	4
hsa-miR-1911-5p	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
hsa-miR-32-3p	104	122	137	96	93	24	84	84	110	178	191	110	107	126	122	119
hsa-miR-4695-3p	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
hsa-miR-6807-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-15a-3p	11	5	7	11	11	2	5	2	8	16	14	12	10	16	8	16
hsa-miR-134-3p	24	158	38	29	54	32	23	48	12	9	11	16	13	14	14	7
hsa-miR-942-3p	0	0	0	0	1	3	1	0	2	2	2	1	4	1	0	1
hsa-miR-6769a-5p	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-135b-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-513c-5p	4	442	141	17	3	600	15	15	3	1	3	4	4	5	0	1
hsa-miR-10b-5p	405721	710480	537524	323770	531018	1152039	586430	572690	550160	538186	637134	1192295	674974	565626	764063	603242
hsa-miR-6822-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-33b-3p	2	2	3	5	3	1	1	5	14	19	19	10	16	19	13	9
hsa-miR-4645-3p	13	12	12	17	9	7	5	9	4	5	4	7	4	1	5	3
hsa-miR-483-5p	4	10	5	1	7	2	3	8	29	29	14	87	39	13	25	13
hsa-miR-145-5p	2	1	4	5	1	2	2	3	5	4	5	5	1	7	4	7
hsa-miR-1252-5p	5	7	1	5	3	4	1	1	4	13	13	11	13	26	8	22
hsa-miR-224-3p	14	11	25	10	16	1	11	6	20	39	10	44	29	7	50	11
hsa-miR-5008-3p	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1
hsa-miR-6824-3p	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1
hsa-miR-6761-5p	0	0	4	1	3	5	0	0	1	2	6	2	2	4	2	0
hsa-miR-92b-3p	3832	4443	3153	3221	3007	1802	2484	3821	6075	7284	5071	7480	5598	5236	4831	4590
hsa-miR-6772-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-628-5p	298	160	274	213	144	96	171	236	118	171	161	202	122	174	95	170
hsa-miR-506-5p	0	16	4	0	2	21	0	1	0	0	0	0	0	0	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6806-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4473	1	3	2	3	0	4	1	3	13	7	3	6	3	5	3	10
hsa-miR-6853-3p	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1
hsa-miR-5579-5p	0	3	7	0	1	1	4	3	0	2	0	2	1	2	0	2
hsa-miR-6865-5p	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0
hsa-miR-191-5p	17	6	26	8	23	0	14	9	26	19	28	56	38	48	25	113
hsa-miR-6840-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0
hsa-miR-3188	2	1	0	1	0	0	2	1	3	1	0	1	0	1	0	0
hsa-miR-654-5p	16	83	68	21	31	28	23	50	40	19	33	37	54	44	32	20
hsa-miR-6744-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3182	3	3	4	6	5	2	5	7	4	2	3	0	4	3	5	0
hsa-miR-3183	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-383-5p	2	111	0	3	0	9	0	10	1	1	2	16	2	0	0	3
hsa-miR-3181	1	1	0	2	0	0	0	1	1	0	0	1	1	2	3	0
hsa-miR-25-3p	11263	12637	12721	9644	11021	8728	10456	10591	15771	23512	21000	25802	18912	25295	18378	22689
hsa-miR-3620-5p	2	0	4	2	0	0	0	1	0	0	1	0	1	1	2	0
hsa-miR-4796-5p	0	0	0	1	0	0	1	1	0	3	1	1	0	3	3	2
hsa-miR-505-5p	11	11	15	8	6	7	13	8	6	15	3	12	14	13	5	7
hsa-miR-130b-5p	134	149	174	125	80	43	109	137	343	370	321	495	305	601	179	606
hsa-miR-664a-3p	509	324	785	431	500	368	738	447	223	251	190	193	191	206	249	229
hsa-miR-378h	0	0	1	2	0	1	3	1	5	9	3	1	3	5	1	1
hsa-miR-4743-5p	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6746-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-378i	2	0	3	2	0	0	1	1	0	2	6	3	0	8	4	2
hsa-miR-766-3p	44	14	16	18	24	4	42	35	19	11	18	8	31	4	20	12
hsa-miR-4482-3p	0	0	1	6	0	0	3	0	0	0	2	0	3	0	0	0
hsa-miR-6826-3p	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1
hsa-miR-99a-3p	964	3719	1412	1452	914	1831	1031	1978	1733	2325	1353	1919	987	1525	1495	1665
hsa-miR-660-5p	437	714	695	561	974	473	824	793	771	971	1520	1563	1039	908	703	1158
hsa-miR-517-5p	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
hsa-miR-296-3p	9	10	6	9	6	3	4	6	10	9	5	13	5	6	4	4
hsa-miR-340-5p	15168	8525	10190	10629	10006	4251	12200	8319	7641	10670	12426	10323	11612	12031	11427	9778
hsa-miR-520d-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4803	0	1	0	1	1	1	0	1	4	2	1	0	2	0	0	0
hsa-miR-499a-3p	5	4	1	2	2	0	0	3	0	2	3	1	3	0	1	3
hsa-miR-7113-5p	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0
hsa-let-7c-3p	17	49	31	32	30	28	47	43	37	44	64	30	34	54	35	50
hsa-miR-3681-5p	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6755-5p	0	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0
hsa-miR-940	31	20	15	9	18	2	14	17	19	22	24	23	17	20	21	13
hsa-miR-4526	2	0	2	0	1	0	0	1	0	0	2	3	5	0	1	3
hsa-miR-18b-3p	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1
hsa-miR-4757-3p	0	2	3	1	1	2	1	0	2	4	0	1	1	0	1	2
hsa-miR-520g-3p	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0
hsa-miR-374b-5p	3207	2418	2352	2481	2212	1554	2682	2169	2655	2230	2792	2219	2407	2091	3273	2679
hsa-miR-16-5p	77640	53004	77989	65048	66091	91571	69267	54422	100347	176691	102444	84500	153516	160844	73689	103795
hsa-miR-6742-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3158-3p	21	33	26	22	18	26	29	25	49	117	71	64	61	108	67	63
hsa-miR-6824-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1287-5p	119	124	109	89	84	63	65	73	136	85	154	155	91	120	101	158
hsa-miR-454-3p	2074	1855	2511	1866	1796	1192	1600	1291	2536	2429	3825	3657	2828	3405	2827	4537
hsa-miR-1306-3p	4	9	9	4	2	4	4	3	3	8	10	6	11	10	4	4
hsa-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-579-3p	1	7	6	2	3	1	3	3	2	4	4	5	2	4	5	9
